,TARIH,FONKODU,FONUNVAN,FIYAT,TEDPAYSAYISI,KISISAYISI,PORTFOYBUYUKLUK,BORSABULTENFIYAT
0,1688688000000,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,12.47218,6193428.0,540.0,77245547.77,-
1,1688688000000,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,0.980384,393168582.0,4242.0,385456305.61,-
2,1688688000000,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,5.393762,5457997.0,57.0,29439135.41,-
3,1688688000000,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.44891,20840451.0,791.0,467845401.16,-
4,1688688000000,ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,0.438795,1029.0,2.0,451.52,-
5,1688688000000,ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),1.260004,650970235.0,2.0,820225191.74,-
6,1688688000000,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,0.032431,139932618.0,73.0,4538155.96,-
7,1688688000000,ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),13.333248,6220774.0,616.0,82943122.5,-
8,1688688000000,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,1.736579,29918611.0,455.0,51956027.42,-
9,1688688000000,ACK,İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),0.194359,302453655.569,296.0,58784617.22,-
10,1688688000000,ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,5.983319,84257954.0,30.0,504142256.83,-
11,1688688000000,ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,25.614584,3423697.0,63.0,87696574.62,-
12,1688688000000,ACZ,İSTANBUL PORTFÖY HİTİT SERBEST FON,4.400434,36107418.0,8.0,158888303.73,-
13,1688688000000,AC1,A1 PORTFÖY KISA VADELİ KATILIM SERBEST FONU,0.0,0.0,0.0,0.0,-
14,1688688000000,AC2,A1 PORTFÖY İKİNCİ SERBEST FON,1.257907,215391.0,54.0,270941.88,-
15,1688688000000,AC3,A1 PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,28.229748,505000.0,3.0,14256022.54,-
16,1688688000000,AC4,A1 PORTFÖY PARA PİYASASI (TL) FON,1.037603,9665597.0,124.0,10029055.24,-
17,1688688000000,AC5,A1 PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,1.310828,28416108.0,15.0,37248640.6,-
18,1688688000000,AC6,A1 PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,26.287303,603110.0,1.0,15854135.06,-
19,1688688000000,AC7,A1 PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.465182,1167696.0,57.0,6381671.59,-
